recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic
454,49.2,99.85000000000001,3.53,5.96,Breakfast,2.0,0
455,18.23,22.32,5.14,18.37,Potato,6.0,1
456,288.55,21.48,4.55,10.8,Pork,6.0,1
457,286.7,29.92,2.8,28.07,Breakfast,4.0,1
458,796.74,44.85,2.36,3.44,Potato,4.0,1
459,259.32,90.65,3.8,70.70750000000001,One Dish Meal,1.0,1
460,725.82,41.68,1.51,7.78,Potato,6.0,1
461,1179.5,0.31,13.7,1.42,One Dish Meal,4.0,1
462,349.29,6.18,1.92,25.18,Vegetable,2.0,1
463,891.7,3.0,4.97,31.36,Breakfast,4.0,1
464,189.27,9.54,6.47,0.34,Beverages,6.0,0
465,108.58,21.67,0.24,11.24,Vegetable,1.0,1
466,51.81,25.43,0.87,42.7,One Dish Meal,2.0,0
467,47.89,4.2,11.78,0.93,Beverages,6.0,0
468,29.19,1.33,21.965000000000003,2.56,Dessert,6.0,1
469,27.11,22.63,4.93,0.0,Beverages,1.0,0
470,751.18,99.85000000000001,13.71,29.39,Lunch/Snacks,6.0,0
471,1272.1,3.13,0.73,25.44,Chicken,1.0,0
472,1241.83,6.01,10.36,11.99,Pork,4.0,1
473,511.39,6.26,7.17,6.62,Dessert,4.0,1
474,67.72,11.03,5.32,40.39,Pork,1.0,1
475,354.02,15.36,21.965000000000003,64.15,Chicken,2.0,1
476,54.97,3.72,7.26,1.08,Vegetable,4.0,1
477,553.67,2.65,1.7,7.96,Vegetable,4.0,1
478,28.33,66.3,0.77,10.13,Lunch/Snacks,6.0,0
479,546.1,26.13,3.17,19.42,Chicken,6.0,1
480,525.28,62.46,1.27,10.85,Lunch/Snacks,1.0,1
481,394.55,50.96,2.45,66.4,Chicken,1.0,0
482,392.95,99.85000000000001,4.97,1.06,Vegetable,6.0,1
483,920.73,9.91,21.965000000000003,0.36,Dessert,4.0,1
484,208.66,15.21,1.6,12.43,Chicken,2.0,0
485,225.87,6.19,2.97,2.89,Chicken,1.0,0
486,139.19,20.1,18.4,3.95,Breakfast,4.0,1
487,7.55,54.19,0.91,14.18,Lunch/Snacks,1.0,1
488,1295.21,34.77,0.75,70.70750000000001,Meat,2.0,1
489,42.13,1.83,2.68,11.43,Breakfast,4.0,0
490,339.8,2.81,3.03,0.24,Beverages,4.0,0
491,27.78,25.23,17.58,0.04,Beverages,4.0,0
492,82.32,16.44,2.86,16.22,Breakfast,2.0,0
493,14.96,37.05,15.71,0.01,Beverages,4.0,0
494,581.97,8.29,21.965000000000003,0.43,Beverages,4.0,0
495,46.34,18.24,0.15,1.58,Vegetable,4.0,1
496,1177.94,48.25,0.78,18.3,Pork,2.0,1
497,260.15,23.07,21.965000000000003,3.22,Dessert,2.0,1
498,350.61,73.29,17.77,1.98,Dessert,4.0,1
499,470.68,2.71,3.92,31.4,Breakfast,1.0,0
500,333.01,19.44,0.69,12.47,Meat,1.0,1
501,0.3,5.19,0.96,1.51,Beverages,4.0,0
502,883.12,70.81,6.85,70.70750000000001,Chicken,6.0,0
503,1110.54,27.97,3.96,28.65,One Dish Meal,4.0,1
504,529.26,99.85000000000001,5.88,9.6,Vegetable,4.0,1
505,145.89,30.54,8.47,0.82,Beverages,4.0,0
506,275.18,5.41,7.9,0.73,Chicken,2.0,0
507,856.4,53.27,11.63,6.4,Vegetable,4.0,1
508,37.74,34.94,13.91,25.6,Breakfast,4.0,0
509,135.85,23.89,12.38,14.89,Potato,1.0,1
510,139.52,26.54,3.08,6.83,Chicken,4.0,0
511,217.57,8.43,7.26,70.70750000000001,Chicken,4.0,0
512,380.75,24.12,2.81,7.02,Potato,4.0,1
513,7.39,4.47,11.62,10.75,Vegetable,4.0,1
514,2.98,9.81,21.965000000000003,19.11,Chicken,1.0,0
515,32.36,1.5,13.67,12.09,Breakfast,1.0,1
516,463.52,5.19,17.61,0.42,Beverages,1.0,0
517,264.13,39.05,2.97,23.04,Chicken,4.0,1
518,229.68,10.72,5.74,1.34,Vegetable,4.0,1
519,161.81,16.8,21.965000000000003,0.14,Beverages,4.0,0
520,138.81,12.91,14.61,0.04,Beverages,1.0,0
521,363.51,23.52,0.5,70.70750000000001,Chicken,1.0,1
522,600.99,99.85000000000001,5.25,23.11,One Dish Meal,4.0,1
523,452.67,21.28,12.13,70.70750000000001,Chicken,2.0,1
524,74.78,2.97,7.55,0.7,Beverages,6.0,0
525,539.11,13.46,0.83,13.39,Chicken,4.0,1
526,93.5,39.28,2.57,23.68,Breakfast,4.0,0
527,493.26,3.1,5.43,17.35,Breakfast,2.0,0
528,10.66,2.32,0.08,70.70750000000001,Pork,6.0,1
529,196.69,1.89,1.48,1.81,Chicken,6.0,0
530,448.59,99.85000000000001,21.965000000000003,12.03,One Dish Meal,6.0,1
531,288.55,21.48,4.55,10.8,Vegetable,1.0,1
532,133.7,50.22,0.1,32.71,Chicken,6.0,0
533,534.7,0.99,0.32,3.17,Potato,1.0,1
534,76.76,0.65,21.965000000000003,0.2,Beverages,4.0,0
535,288.55,21.48,4.55,10.8,Chicken,2.0,1
536,689.29,5.14,1.13,12.72,Vegetable,4.0,1
537,879.61,0.03,8.34,7.83,Chicken,4.0,1
538,117.95,17.11,6.67,1.15,Beverages,2.0,0
539,288.55,21.48,4.55,10.8,Vegetable,4.0,1
540,84.83,26.93,21.965000000000003,10.52,Dessert,6.0,0
541,60.62,99.85000000000001,21.965000000000003,5.53,Dessert,1.0,0
542,513.03,2.18,0.13,49.14,Lunch/Snacks,2.0,1
543,51.19,39.96,8.11,18.31,Potato,4.0,1
544,226.38,13.44,0.45,37.7,Potato,4.0,1
545,203.16,16.61,21.965000000000003,0.59,Beverages,4.0,0
546,288.55,21.48,4.55,10.8,Chicken,6.0,1
547,1328.48,18.79,21.965000000000003,29.6,Meat,2.0,0
548,1328.48,44.66,6.67,32.98,Pork,4.0,1
549,1328.48,30.59,5.78,30.63,Lunch/Snacks,6.0,1
550,473.41,9.91,1.84,6.57,Potato,4.0,1
551,927.15,0.05,1.73,12.29,Potato,4.0,1
552,238.3,0.21,9.43,2.64,Meat,2.0,0
553,241.33,32.19,1.43,1.0,Vegetable,2.0,1
554,213.0,55.84,11.98,1.19,Chicken,4.0,1
555,61.82,15.63,5.23,19.06,Pork,4.0,0
556,288.55,21.48,4.55,10.8,Meat,2.0,0
557,426.27,14.98,9.75,4.48,Breakfast,2.0,0
558,34.97,2.73,21.965000000000003,4.95,Breakfast,2.0,1
559,567.1,15.55,9.34,14.1,Chicken,4.0,0
560,219.66,24.36,5.33,1.32,Breakfast,2.0,1
561,242.85,28.81,1.99,8.57,Breakfast,1.0,0
562,148.17,39.47,0.16,14.83,Lunch/Snacks,4.0,0
563,184.4,4.82,4.14,33.31,Chicken,4.0,0
564,22.02,31.2,0.74,70.07,Chicken,1.0,1
565,349.19,27.38,12.55,70.70750000000001,One Dish Meal,4.0,1
566,372.27,81.52,3.77,22.74,One Dish Meal,4.0,1
567,1328.48,35.0,9.39,42.13,Pork,1.0,0
568,3.07,45.74,16.77,9.36,Breakfast,4.0,0
569,419.28,15.86,0.59,10.0,One Dish Meal,4.0,1
570,531.11,3.21,0.84,56.19,Chicken,1.0,1
571,185.75,26.67,2.21,22.35,One Dish Meal,1.0,0
572,220.68,4.86,2.98,18.9,Vegetable,4.0,1
573,617.84,16.31,4.25,9.59,Chicken,1.0,1
574,288.55,21.48,4.55,10.8,Lunch/Snacks,4.0,0
575,504.2,27.24,0.77,8.58,Meat,2.0,0
576,128.3,99.85000000000001,21.965000000000003,13.02,Dessert,4.0,0
577,551.3,99.85000000000001,1.51,9.77,Breakfast,4.0,0
578,23.45,17.98,7.1,9.73,Potato,2.0,1
579,580.33,22.17,3.77,9.22,Potato,4.0,1
580,197.11,4.74,18.82,2.55,Beverages,1.0,0
581,467.47,55.6,2.24,51.15,Meat,6.0,0
582,288.55,21.48,4.55,10.8,Chicken,1.0,0
583,451.79,19.64,4.16,5.37,Vegetable,6.0,1
584,268.36,12.29,6.46,70.70750000000001,Chicken,4.0,0
585,373.3,99.85000000000001,3.05,7.32,One Dish Meal,2.0,0
586,815.86,68.71,0.98,66.9,Chicken,2.0,1
587,10.6,64.88,1.62,23.77,Lunch/Snacks,2.0,0
588,1.56,59.87,6.57,35.0,Pork,4.0,1
589,246.78,12.58,2.81,23.36,Pork,2.0,1
590,801.72,40.78,4.82,44.03,Meat,6.0,1
591,52.08,75.39,21.965000000000003,28.37,Pork,6.0,1
592,748.98,38.66,2.53,32.23,Pork,6.0,0
593,87.04,7.73,21.965000000000003,9.45,Dessert,1.0,1
594,372.33,11.65,5.53,34.21,Pork,2.0,1
595,351.61,18.84,10.87,9.62,Chicken,2.0,0
596,306.9,19.65,10.34,28.37,Pork,2.0,1
597,287.32,10.24,2.32,2.18,Beverages,1.0,0
598,212.4,19.2,2.25,23.78,Breakfast,2.0,0
599,296.23,8.84,5.1,0.68,Beverages,6.0,0
600,902.54,6.5,7.17,41.6,Pork,2.0,1
601,495.13,32.85,4.24,14.21,Potato,6.0,1
602,565.23,91.95,13.44,3.21,Potato,1.0,0
603,51.87,31.1,4.06,48.65,Chicken,2.0,0
604,101.96,32.47,11.44,3.18,Vegetable,4.0,1
605,9.52,6.4,8.36,49.57,Meat,1.0,1
606,98.67,1.43,7.73,8.14,Chicken,4.0,1
607,77.75,21.41,3.51,3.12,Vegetable,4.0,1
608,51.84,77.02,5.09,6.57,Pork,4.0,1
609,288.55,21.48,4.55,10.8,Chicken,4.0,0
610,478.18,89.41,0.58,9.66,Lunch/Snacks,4.0,0
611,192.8,78.29,0.41,1.62,Potato,1.0,1
612,1275.23,33.13,8.34,44.23,Chicken,4.0,0
613,780.48,7.03,2.08,9.93,Lunch/Snacks,1.0,1
614,74.47,30.82,1.86,4.8,Breakfast,2.0,0
615,234.26,9.58,10.0,2.88,Potato,4.0,1
616,45.02,8.83,0.8,3.57,Breakfast,1.0,0
617,382.43,62.95,19.81,70.70750000000001,Pork,4.0,1
618,818.56,94.81,4.13,2.56,Breakfast,6.0,0
619,368.09,6.7,0.68,8.16,Lunch/Snacks,1.0,0
620,41.29,4.45,3.04,9.08,Chicken,4.0,0
621,26.14,48.43,1.98,30.48,Lunch/Snacks,4.0,1
622,438.66,99.85000000000001,3.61,0.07,Dessert,2.0,1
623,131.92,7.94,2.42,3.56,Vegetable,1.0,1
624,236.62,9.67,0.81,9.07,Potato,6.0,1
625,68.54,7.55,17.68,0.93,Beverages,4.0,0
626,113.12,87.56,16.96,1.55,Breakfast,2.0,1
627,544.01,39.29,1.75,2.3,Chicken,6.0,1
628,200.73,9.04,2.22,4.72,Breakfast,4.0,0
629,724.43,5.18,2.1,10.67,One Dish Meal,6.0,1
630,368.49,27.38,13.43,0.63,Chicken,4.0,0
631,390.39,50.5,1.84,32.66,Lunch/Snacks,1.0,1
632,299.82,40.79,4.36,1.06,Chicken,6.0,1
633,105.95,55.8,0.07,7.55,Vegetable,2.0,1
634,541.86,53.39,1.1,8.41,Vegetable,4.0,1
635,225.36,23.06,7.59,21.57,Chicken,4.0,0
636,510.79,48.79,1.87,7.22,Lunch/Snacks,1.0,1
637,1328.48,25.08,0.61,54.0,One Dish Meal,1.0,1
638,146.87,76.13,1.65,70.70750000000001,Chicken,1.0,0
639,321.95,1.41,10.76,70.70750000000001,Meat,1.0,1
640,1328.48,16.2,8.67,10.55,Meat,4.0,0
641,138.64,17.79,8.52,6.82,Vegetable,2.0,1
642,995.98,54.44,16.15,70.70750000000001,Chicken,2.0,0
643,1328.48,42.58,0.24,48.54,Meat,4.0,1
644,561.72,18.83,11.76,5.69,Dessert,4.0,0
645,26.16,32.73,1.32,0.73,Potato,2.0,1
646,1291.46,63.62,8.22,18.86,Lunch/Snacks,1.0,1
647,813.82,33.77,1.68,1.01,Chicken,4.0,0
648,542.56,7.52,7.82,40.74,Pork,4.0,1
649,131.94,1.19,1.89,0.07,Beverages,4.0,0
650,338.77,13.88,1.69,0.24,Beverages,2.0,0
651,269.46,70.53,6.52,23.25,Potato,4.0,1
652,332.63,25.69,6.66,1.73,Beverages,4.0,0
653,0.54,30.59,10.45,0.36,Beverages,6.0,1
654,732.96,8.31,0.91,0.68,Potato,6.0,1
655,0.59,18.82,21.965000000000003,16.44,Dessert,2.0,1
656,291.89,36.28,21.965000000000003,7.02,Dessert,4.0,1
657,458.66,7.37,13.37,70.70750000000001,Chicken,1.0,0
658,135.07,26.32,4.58,7.11,Potato,4.0,1
659,16.87,61.77,5.91,10.32,Breakfast,1.0,1
660,375.59,15.42,7.6,17.7,One Dish Meal,4.0,1
661,288.86,28.63,21.965000000000003,7.71,Dessert,6.0,1
662,721.81,0.19,0.33,19.0,Dessert,1.0,1
663,715.14,20.37,3.27,2.47,Dessert,1.0,0
664,118.71,9.58,3.16,0.69,Beverages,6.0,0
665,1056.94,38.09,4.27,46.59,Chicken,4.0,0
666,643.87,0.7,21.965000000000003,12.96,Vegetable,6.0,1
667,100.39,9.66,21.965000000000003,16.97,Vegetable,2.0,1
668,1271.9,50.13,16.8,19.44,Pork,2.0,1
669,343.96,23.79,21.965000000000003,0.41,Dessert,1.0,1
670,0.8,12.26,1.33,6.21,Chicken,6.0,0
671,481.88,12.74,1.34,51.9,Chicken,1.0,1
672,640.65,8.32,2.04,53.64,Meat,4.0,0
673,66.03,22.47,4.94,1.78,Vegetable,2.0,1
674,15.79,11.89,5.08,3.75,Vegetable,4.0,1
675,288.55,21.48,4.55,10.8,Pork,4.0,1
676,716.84,15.12,4.17,2.25,Potato,6.0,1
677,261.88,0.58,12.87,1.76,Beverages,1.0,0
678,988.66,99.85000000000001,3.2,17.35,Breakfast,4.0,0
679,156.0,20.96,10.28,70.70750000000001,Meat,1.0,1
680,178.95,22.59,4.04,7.04,One Dish Meal,2.0,1
681,11.57,20.55,0.5,0.02,Beverages,1.0,0
682,339.38,5.75,10.19,70.70750000000001,Chicken,6.0,1
683,147.24,9.72,0.94,54.0,Chicken,4.0,0
684,288.55,21.48,4.55,10.8,Potato,1.0,1
685,1328.48,19.25,0.13,31.58,Chicken,4.0,0
686,73.3,7.73,3.95,36.47,Vegetable,6.0,1
687,975.9,10.81,3.04,60.25,Chicken,4.0,0
688,249.33,69.42,7.91,11.29,Dessert,4.0,1
689,389.31,99.85000000000001,7.81,7.94,Potato,6.0,1
690,484.65,60.94,1.05,4.45,Potato,4.0,1
691,278.35,22.25,1.51,17.9,Chicken,1.0,1
692,56.91,99.85000000000001,1.91,0.8,Vegetable,4.0,1
693,498.56,5.96,2.08,15.44,Breakfast,2.0,0
694,32.92,99.85000000000001,21.965000000000003,6.27,Dessert,4.0,1
695,1328.48,99.85000000000001,0.15,2.56,One Dish Meal,2.0,1
696,891.11,15.2,1.5,70.70750000000001,Chicken,2.0,0
697,1328.48,41.54,10.96,32.72,Meat,4.0,1
698,92.44,29.29,2.6,27.19,Chicken,1.0,0
699,85.29,46.39,2.78,5.08,Vegetable,2.0,1
700,628.49,20.86,0.33,17.74,Chicken,6.0,1
701,112.46,15.54,4.33,26.1,Lunch/Snacks,4.0,1
702,582.49,12.17,0.13,9.3,Chicken,6.0,0
703,521.32,4.88,11.69,32.98,Chicken,6.0,1
704,665.01,11.65,19.16,26.66,Breakfast,4.0,0
705,384.96,58.61,0.55,23.38,Chicken,2.0,0
706,458.53,28.89,6.32,70.70750000000001,Breakfast,1.0,0
707,313.53,41.44,5.95,5.07,Breakfast,2.0,0
708,299.17,20.65,6.34,12.65,Pork,6.0,1
709,278.75,39.36,5.05,0.07,Breakfast,1.0,0
710,322.89,14.86,0.02,6.84,Lunch/Snacks,6.0,1
711,207.57,1.52,4.46,15.05,One Dish Meal,6.0,1
712,288.55,21.48,4.55,10.8,Lunch/Snacks,4.0,1
713,288.55,21.48,4.55,10.8,Pork,6.0,1
714,720.31,6.88,0.76,17.24,Meat,4.0,1
715,1044.25,30.87,3.7,5.37,Potato,4.0,1
716,1328.48,27.82,9.03,8.64,Breakfast,2.0,0
717,113.37,4.9,1.29,17.08,Pork,6.0,1
718,999.59,99.85000000000001,5.08,0.76,One Dish Meal,1.0,1
719,915.15,44.8,8.97,14.27,Potato,4.0,1
720,425.75,99.85000000000001,0.64,7.73,Lunch/Snacks,6.0,1
721,239.1,80.83,0.3,23.25,Breakfast,2.0,1
722,1328.48,67.84,13.43,5.84,Dessert,6.0,1
723,1070.05,99.85000000000001,2.18,50.84,One Dish Meal,6.0,1
724,974.61,2.67,4.72,3.08,Pork,4.0,1
725,263.94,0.98,7.41,13.08,Pork,4.0,1
726,27.46,8.3,6.91,18.15,Meat,4.0,1
727,399.26,96.71,8.6,52.0,Pork,4.0,1
728,213.77,58.08,1.59,1.19,Beverages,6.0,0
729,818.53,4.97,1.25,31.59,Lunch/Snacks,4.0,1
730,472.11,15.08,21.965000000000003,23.21,Breakfast,4.0,0
731,241.0,16.83,16.4,1.02,Beverages,2.0,0
732,712.27,23.3,8.39,54.51,Chicken,2.0,1
733,1228.14,32.54,1.67,7.38,Potato,4.0,1
734,215.03,8.86,1.1,3.77,Chicken,1.0,1
735,54.39,61.77,8.77,12.89,Pork,4.0,1
736,513.75,65.87,18.63,18.39,Lunch/Snacks,4.0,0
737,70.53,17.09,10.64,0.87,Beverages,6.0,0
738,686.84,17.72,21.965000000000003,1.64,Dessert,4.0,1
739,179.24,99.85000000000001,0.15,45.29,One Dish Meal,6.0,1
740,88.59,43.72,3.9,30.75,Lunch/Snacks,4.0,1
741,1328.48,2.13,4.01,19.75,Chicken,6.0,1
742,92.01,51.29,9.66,1.95,Dessert,4.0,1
743,1045.25,73.99,0.53,34.94,Meat,1.0,1
744,12.99,68.8,3.64,11.38,Lunch/Snacks,1.0,1
745,263.04,52.87,1.27,19.53,Potato,6.0,1
746,129.07,37.3,2.09,31.57,Pork,2.0,1
747,548.43,99.85000000000001,8.71,24.1,Chicken,2.0,0
748,153.76,14.27,0.21,0.96,Beverages,4.0,0
749,227.88,21.19,15.05,70.70750000000001,Pork,4.0,0
750,288.55,21.48,4.55,10.8,Dessert,4.0,1
751,54.81,12.49,8.26,12.53,Breakfast,6.0,0
752,32.29,99.85000000000001,14.35,0.74,Dessert,6.0,0
753,1328.48,18.99,7.93,38.94,One Dish Meal,4.0,1
754,1317.56,24.42,21.965000000000003,70.70750000000001,Pork,4.0,1
755,69.69,76.09,1.72,70.70750000000001,One Dish Meal,2.0,1
756,790.21,3.92,5.93,23.16,Chicken,4.0,1
757,1203.79,46.46,1.26,7.99,One Dish Meal,4.0,0
758,853.22,24.8,0.9,14.1,Lunch/Snacks,4.0,0
759,253.63,12.99,5.75,9.5,Potato,1.0,0
760,878.7,7.7,3.87,35.12,Pork,6.0,1
761,201.19,6.4,21.965000000000003,0.13,Beverages,4.0,0
762,197.73,99.85000000000001,2.97,1.26,Potato,2.0,1
763,374.75,3.42,18.07,25.39,One Dish Meal,1.0,1
764,255.77,99.85000000000001,14.46,2.17,Pork,1.0,1
765,474.73,12.78,3.66,1.17,Beverages,4.0,0
766,288.55,21.48,4.55,10.8,Pork,1.0,1
767,217.78,0.62,4.51,0.46,Vegetable,6.0,1
768,337.25,31.92,8.0,27.51,One Dish Meal,1.0,1
769,732.56,8.13,1.98,0.07,Breakfast,4.0,0
770,573.69,9.55,5.19,7.83,Meat,4.0,0
771,899.53,55.54,7.64,18.26,Dessert,2.0,1
772,96.2,7.2,5.51,0.27,Beverages,1.0,0
773,288.55,21.48,4.55,10.8,One Dish Meal,4.0,0
774,597.75,34.77,4.7,38.26,Chicken,1.0,1
775,48.76,6.27,1.5,0.1,Beverages,6.0,0
776,1270.46,10.74,2.19,51.99,Pork,4.0,1
777,544.51,88.67,14.45,63.94,Breakfast,1.0,0
778,47.89,17.17,9.89,0.89,Beverages,6.0,0
779,241.29,4.25,7.69,9.87,Lunch/Snacks,6.0,1
780,12.25,11.17,7.44,26.89,Meat,6.0,1
781,83.42,8.11,0.37,0.36,Beverages,4.0,0
782,1328.48,34.23,1.46,10.02,Potato,1.0,1
783,44.15,18.62,1.65,70.70750000000001,Pork,1.0,1
784,529.26,7.54,6.94,25.21,Meat,4.0,1
785,127.84,65.14,1.91,29.65,Lunch/Snacks,4.0,0
786,23.84,54.51,0.63,0.59,Breakfast,6.0,1
787,1160.95,3.69,11.83,33.12,Chicken,4.0,0
788,100.83,99.85000000000001,0.41,5.68,Potato,6.0,1
789,71.71,51.87,9.8,15.1,Meat,4.0,1
790,35.64,92.44,15.83,10.27,One Dish Meal,4.0,1
791,102.32,46.13,15.64,6.5,Lunch/Snacks,6.0,0
792,28.99,46.4,7.14,0.22,Beverages,6.0,0
793,651.82,63.66,5.25,52.18,One Dish Meal,6.0,1
794,633.17,20.0,2.35,26.11,Lunch/Snacks,4.0,1
795,481.51,5.99,5.43,28.51,Meat,4.0,1
796,41.92,25.28,1.95,14.62,Chicken,2.0,1
797,665.49,15.55,0.77,18.8,Chicken,4.0,1
798,94.44,13.41,2.48,3.24,Potato,4.0,1
799,100.82,99.85000000000001,1.25,33.51,Potato,1.0,1
800,39.82,9.71,19.24,8.5,Dessert,2.0,0
801,1054.4,25.96,0.43,0.24,Potato,6.0,0
802,1078.33,13.48,11.42,70.70750000000001,Pork,6.0,1
803,71.73,25.82,2.41,33.21,Meat,6.0,0
804,999.13,51.34,2.82,25.25,Lunch/Snacks,1.0,1
805,446.58,0.44,0.05,37.28,Chicken,4.0,0
806,1328.48,0.48,2.15,1.65,Meat,4.0,0
807,96.49,37.38,3.93,1.24,Potato,6.0,1
808,73.56,15.61,5.91,4.71,Lunch/Snacks,6.0,1
809,502.89,3.44,3.9,0.1,Beverages,6.0,0
810,328.47,6.01,3.9,33.17,Chicken,4.0,0
811,336.13,38.56,21.965000000000003,14.64,Dessert,1.0,0
812,1053.49,6.49,10.53,10.27,Vegetable,4.0,1
813,550.71,11.53,0.35,0.0,Potato,2.0,1
814,1245.7,0.08,14.34,3.52,Lunch/Snacks,4.0,1
815,305.22,41.6,0.18,25.99,Chicken,4.0,0
816,41.52,99.85000000000001,6.02,38.49,Breakfast,4.0,0
817,535.55,0.08,4.4,5.56,One Dish Meal,6.0,1
818,12.06,41.93,0.84,15.38,Breakfast,1.0,0
819,208.31,84.21,4.99,43.5,One Dish Meal,6.0,1
820,600.24,51.08,18.07,5.91,Dessert,4.0,1
821,7.63,38.99,5.21,0.64,Vegetable,4.0,1
822,439.11,38.45,2.72,15.7,Pork,1.0,1
823,212.15,24.89,1.66,6.13,One Dish Meal,2.0,1
824,1328.48,8.6,3.33,2.23,Pork,2.0,1
825,247.89,44.68,2.64,19.94,Chicken,1.0,1
826,12.24,37.13,3.39,0.28,Vegetable,1.0,1
827,228.51,40.37,5.18,4.55,Potato,1.0,1
828,71.34,38.27,2.88,24.74,Meat,1.0,1
829,414.54,17.84,1.23,7.5,Potato,6.0,1
830,912.77,79.94,1.85,44.36,One Dish Meal,1.0,1
831,633.79,99.85000000000001,1.1,4.14,Potato,4.0,1
832,674.75,21.48,3.93,23.86,Lunch/Snacks,1.0,1
833,23.62,49.82,4.97,5.53,Vegetable,4.0,1
834,86.02,31.49,1.27,6.72,Lunch/Snacks,6.0,1
835,108.55,42.6,1.04,1.96,Vegetable,4.0,1
836,624.57,3.46,14.41,15.7,Chicken,1.0,0
837,953.06,10.38,0.26,13.3,Breakfast,4.0,0
838,12.63,40.82,0.59,3.41,Vegetable,4.0,1
839,727.55,2.81,1.01,28.55,Meat,4.0,1
840,340.31,0.41,2.29,10.55,Chicken,4.0,1
841,84.91,28.31,9.9,41.53,Chicken,6.0,1
842,516.57,36.73,4.34,5.37,Chicken,4.0,0
843,282.89,99.85000000000001,2.51,28.11,Lunch/Snacks,6.0,1
844,255.92,99.85000000000001,2.18,3.47,Potato,4.0,1
845,805.11,99.85000000000001,21.965000000000003,4.03,Dessert,4.0,1
846,399.59,56.13,5.77,4.81,Dessert,2.0,0
847,128.46,99.85000000000001,8.12,0.76,Dessert,4.0,0
848,88.17,49.37,0.01,0.4,Beverages,6.0,0
849,64.15,6.14,0.27,29.33,Meat,2.0,1
850,0.64,75.64,3.26,6.95,Breakfast,1.0,0
851,17.7,78.46,21.965000000000003,0.22,Dessert,2.0,0
852,288.55,21.48,4.55,10.8,Lunch/Snacks,4.0,1
853,474.05,4.67,1.1,39.11,Chicken,1.0,0
854,406.57,8.78,0.09,0.61,Dessert,6.0,0
855,63.05,10.13,5.18,15.16,Lunch/Snacks,6.0,0
856,143.51,6.17,0.54,5.0,Pork,4.0,1
857,362.78,97.21,0.55,21.11,Lunch/Snacks,2.0,1
858,113.31,11.5,1.73,11.6,Vegetable,2.0,1
859,388.44,12.89,4.62,13.93,Pork,4.0,1
860,288.55,21.48,4.55,10.8,One Dish Meal,4.0,0
861,207.96,16.55,21.965000000000003,1.19,Dessert,4.0,0
862,1328.48,9.42,5.12,70.70750000000001,Chicken,6.0,1
863,21.09,10.5,4.66,0.02,Beverages,2.0,0
864,48.5,7.49,0.11,17.24,Breakfast,4.0,0
865,57.63,7.79,4.95,3.75,Vegetable,4.0,1
866,288.55,21.48,4.55,10.8,Lunch/Snacks,6.0,1
867,642.71,12.75,2.33,35.22,Chicken,2.0,0
868,307.36,31.39,21.965000000000003,10.12,Dessert,6.0,0
869,301.49,10.39,14.02,4.94,Lunch/Snacks,4.0,1
870,184.32,14.18,7.47,0.04,Beverages,1.0,0
871,1328.48,86.51,0.79,0.58,Potato,1.0,1
872,442.15,5.62,0.79,59.69,One Dish Meal,2.0,1
873,230.27,9.26,0.43,56.8,One Dish Meal,6.0,1
874,161.3,35.29,3.23,3.51,Potato,6.0,1
875,976.87,7.73,3.01,49.04,One Dish Meal,2.0,1
876,141.66,38.53,2.96,10.13,Potato,4.0,1
877,25.21,0.47,20.64,52.56,Pork,2.0,1
878,70.25,28.84,4.54,3.96,Breakfast,4.0,0
879,88.26,18.58,5.21,70.70750000000001,Meat,6.0,1
880,190.33,22.62,0.51,11.92,Meat,4.0,0
881,282.57,9.87,1.9,0.16,Beverages,4.0,0
882,219.25,3.19,5.82,12.75,Vegetable,4.0,1
883,248.6,24.45,5.37,0.38,Breakfast,1.0,0
884,343.26,85.06,1.58,19.57,Lunch/Snacks,2.0,0
885,504.09,32.76,1.46,25.73,One Dish Meal,2.0,0
886,166.85,99.85000000000001,2.8,21.47,Breakfast,4.0,0
887,30.37,38.4,0.1,35.2,Vegetable,2.0,1
888,1328.48,19.99,6.71,25.29,Chicken,2.0,1
889,1129.21,85.35,1.69,11.92,Pork,4.0,1
890,110.86,17.28,10.33,60.57,Chicken,4.0,0
891,288.55,21.48,4.55,10.8,Meat,4.0,1
892,309.67,23.22,10.01,7.25,Chicken,1.0,0
893,134.33,23.47,4.46,23.21,Vegetable,4.0,1
894,288.55,21.48,4.55,10.8,One Dish Meal,4.0,0
895,576.07,21.89,2.96,70.70750000000001,Pork,4.0,0
896,309.05,99.85000000000001,21.965000000000003,2.76,Dessert,4.0,1
897,288.55,21.48,4.55,10.8,Chicken,6.0,1
898,576.38,15.98,0.54,36.23,Pork,2.0,0
899,643.99,31.56,2.3,57.14,Meat,2.0,1
900,35.81,3.38,0.07,0.12,Beverages,6.0,0
901,116.69,19.94,9.75,3.01,Vegetable,2.0,1
902,92.61,1.35,3.59,0.04,Beverages,6.0,1
903,779.72,24.92,1.62,22.45,Pork,4.0,1
904,284.59,9.73,1.76,70.70750000000001,Meat,4.0,1
905,449.22,96.11,4.6,6.58,Pork,2.0,1
906,42.3,12.14,1.86,70.70750000000001,Chicken,2.0,0
907,194.37,12.17,1.58,3.67,Lunch/Snacks,4.0,0
908,1328.48,7.47,3.62,34.33,One Dish Meal,1.0,1
909,109.42,51.67,2.54,4.5,Lunch/Snacks,1.0,1
